county	year	一般政務	債務	教科文	社會福利	社發環境	經濟發展	補助及其他	退休撫卹	總預算
南投縣	2011	0.233023719	0.02182196	0.367548342	0.123520704	0.006189849	0.076043869	0.02454	0.147311558	19900000
嘉義市	2011	0.238172529	0.008010207	0.283868006	0.092941981	0.042416284	0.190261386	0.020616055	0.123713553	11612309
嘉義縣	2011	0.193852359	0.022796263	0.285458244	0.143656235	0.00858893	0.178120738	0.029449323	0.138077908	21410000
基隆市	2011	0.244455877	0.011732195	0.252528068	0.128774118	0.046350929	0.199929607	0.019089879	0.097139327	18155170
宜蘭縣	2011	0.181056253	0.016165402	0.317339633	0.115194075	0.072492514	0.163454618	0.023130985	0.111166521	19370814
屏東縣	2011	0.188565735	0.010488777	0.296348168	0.117381432	0.014802541	0.210054961	0.021029788	0.141328598	33369000
彰化縣	2011	0.192832155	0.01297201	0.392837217	0.135456933	0.006314059	0.107380995	0.022892554	0.129314078	35717596
新北市	2011	0.190470758	0.007912613	0.256846952	0.212279348	0.104810257	0.133959339	0.017625542	0.076095192	155203341
新竹市	2011	0.180365554	0.022058824	0.283404468	0.09260017	0.091185351	0.078823077	0.133963009	0.117599548	17680000
新竹縣	2011	0.135615868	0.018959935	0.399528784	0.08988682	0.035439642	0.231806231	0.05632011	0.03244261	27604314
桃園市	2011	0.17411384	0.005877144	0.372238564	0.191042348	0.029465566	0.125337912	0.023042428	0.0788822	62105000
澎湖縣	2011	0.262116695	0.002202535	0.231774697	0.144606445	0.026578844	0.206668982	0.034643426	0.091408377	8172402
臺中市	2011	0.203008809	0.007877444	0.311162536	0.179846122	0.082331684	0.104741216	0.022577734	0.088454455	102977561
臺北市	2011	0.142478985	0.009772879	0.324949333	0.257989578	0.079323437	0.145749197	0.010945504	0.028791086	176930457
臺南市	2011	0.202128306	0.011992107	0.326503126	0.202389757	0.04153885	0.144333269	0.019206644	0.05190794	77884559
臺東縣	2011	0.236273213	0.009026179	0.273447669	0.131608282	0.012930626	0.19212041	0.02006589	0.124527731	14402551
花蓮縣	2011	0.218353038	0.017779104	0.308099875	0.109109441	0.016899858	0.181772461	0.019932243	0.128053981	17509319
苗栗縣	2011	0.211077691	0.011388007	0.348810887	0.104775545	0.04145466	0.148791406	0.025411806	0.108289998	26343504
連江縣	2011	0.22157924	0.000487984	0.252756215	0.091011627	0.058212918	0.341562479	0.023227065	0.011162472	3073871
金門縣	2011	0.197831937	0	0.170353523	0.103557694	0.05012301	0.419130811	0.020703542	0.038299483	12730720
雲林縣	2011	0.170006926	0.023197704	0.31774492	0.141121511	0.008638835	0.160052936	0.038796228	0.14044094	26704065
高雄市	2011	0.184958894	0.018798151	0.328244562	0.19208934	0.103180672	0.113728941	0.021130643	0.037868798	134992957
南投縣	2012	0.235077241	0.02414069	0.378267734	0.114587389	0.006278079	0.062896798	0.031293941	0.147458128	20300000
嘉義市	2012	0.266858583	0.008287685	0.310341374	0.098544176	0.048364597	0.105881966	0.026630696	0.135090923	10942260
嘉義縣	2012	0.199584375	0.028314827	0.299814889	0.143129304	0.00828151	0.108840254	0.031166002	0.18086884	21399601
基隆市	2012	0.265336614	0.011931684	0.272346956	0.132801852	0.051212161	0.137418519	0.01962762	0.109324593	16762093
宜蘭縣	2012	0.188695829	0.017005593	0.354258807	0.113682068	0.032328368	0.14167056	0.03514518	0.117213595	18572419
屏東縣	2012	0.203885107	0.011476162	0.354255328	0.118068201	0.01288937	0.123034363	0.023614958	0.15277651	30498000
彰化縣	2012	0.18506107	0.01391886	0.376830708	0.126513928	0.006875313	0.120698174	0.042082616	0.128019332	38244224
新北市	2012	0.217153551	0.006733104	0.269263476	0.198085807	0.08554337	0.126332032	0.017099339	0.079789321	157448777
新竹市	2012	0.188017241	0.007965981	0.304369898	0.097456041	0.067932522	0.105225433	0.104493758	0.124539125	17574734
新竹縣	2012	0.149396885	0.02100936	0.330371606	0.112842011	0.015672795	0.210412057	0.052397572	0.107897714	25808925
桃園市	2012	0.178685561	0.008286137	0.380695762	0.175995028	0.036589844	0.114609586	0.023169005	0.081969076	62152000
澎湖縣	2012	0.268656559	0.002212375	0.239390034	0.136390213	0.026266176	0.194111076	0.034404889	0.098568679	8136053
臺中市	2012	0.21117225	0.007417577	0.328561293	0.135470777	0.090561715	0.113447316	0.02202824	0.091340832	106908223
臺北市	2012	0.141611229	0.015219561	0.335353357	0.273671673	0.07886258	0.115168825	0.010962196	0.029150578	184318265
臺南市	2012	0.246040113	0.017437391	0.314560031	0.198437321	0.037936636	0.114910132	0.018990953	0.051687423	87233117
臺東縣	2012	0.255264045	0.00908142	0.276838216	0.118042532	0.012470326	0.172276493	0.026475832	0.129551136	14314942
花蓮縣	2012	0.230211274	0.017918338	0.318741908	0.106356014	0.01363296	0.171155355	0.01997322	0.122010931	17373263
苗栗縣	2012	0.225486052	0.011078602	0.306499819	0.093571584	0.072124106	0.152530323	0.02554425	0.113165263	31592433
連江縣	2012	0.234845686	0.000510309	0.241688933	0.091340256	0.044753783	0.343890612	0.03027835	0.012692072	2939394
金門縣	2012	0.211888153	0	0.208734537	0.118815307	0.057667553	0.333625118	0.022685872	0.04658346	10842475
雲林縣	2012	0.169769428	0.023992244	0.325107831	0.131869014	0.005185843	0.165178727	0.031830422	0.147066491	26560000
高雄市	2012	0.187321779	0.019798827	0.348959003	0.195053356	0.094967116	0.093496999	0.020446858	0.039956062	131267016
南投縣	2013	0.230024729	0.019260296	0.364394877	0.11482798	0.00798399	0.093498276	0.030640394	0.139369458	20300000
嘉義市	2013	0.243821786	0.006916736	0.310312189	0.104511941	0.046900942	0.132201547	0.025972444	0.129362416	11604607
嘉義縣	2013	0.193729813	0.022803738	0.319064626	0.144158738	0.006459299	0.099898318	0.032768785	0.181116682	21400000
基隆市	2013	0.2506218	0.011576217	0.287518574	0.12743242	0.049494523	0.139148916	0.019171783	0.115035768	16951997
宜蘭縣	2013	0.20244262	0.016781046	0.361000078	0.109005271	0.043338577	0.113418186	0.034060921	0.119953302	18615586
屏東縣	2013	0.19741876	0.009811617	0.3697361	0.131957156	0.012619309	0.107164704	0.022567439	0.148724915	30576000
彰化縣	2013	0.178617418	0.013358065	0.390560864	0.117768334	0.006217982	0.143658943	0.028139805	0.121678589	39842671
新北市	2013	0.208412188	0.005102416	0.288002302	0.13742757	0.074471837	0.179531921	0.023533803	0.083517963	155416362
新竹市	2013	0.188303129	0.013839359	0.314658023	0.119758115	0.073811998	0.10525574	0.063087325	0.121286312	18064421
新竹縣	2013	0.15501922	0.022015079	0.336347099	0.124446557	0.020154527	0.165404704	0.06754689	0.109065924	25021078
桃園市	2013	0.18531393	0.007411407	0.397552695	0.118746631	0.038743644	0.144304761	0.023614289	0.084312643	62928000
澎湖縣	2013	0.230745109	0.002226275	0.211661482	0.129272142	0.025413562	0.278886286	0.031738197	0.090056948	9432798
臺中市	2013	0.212529808	0.007372882	0.319247308	0.108708689	0.075532078	0.151335354	0.030270422	0.095003459	107556315
臺北市	2013	0.150101286	0.021299274	0.365951439	0.230974382	0.066284755	0.117437606	0.01526224	0.032689018	173928137
臺南市	2013	0.235645558	0.015423019	0.335513899	0.105924076	0.036843862	0.193860031	0.019707139	0.057082416	86926366
臺東縣	2013	0.241563985	0.006946538	0.288229717	0.138123573	0.010654183	0.151824091	0.027994548	0.134663364	14395660
花蓮縣	2013	0.223892379	0.013721798	0.320926583	0.11559719	0.012930071	0.166816488	0.020182423	0.125933069	17341823
苗栗縣	2013	0.186586365	0.024683735	0.339549571	0.117261943	0.046387042	0.159533105	0.02298557	0.103012669	26333130
連江縣	2013	0.188207173	0.000442156	0.216094827	0.083897893	0.029911548	0.442029979	0.02703842	0.012378006	3392469
金門縣	2013	0.18003769	0	0.210555463	0.133559986	0.059891564	0.356868463	0.021099394	0.037987441	12002809
